LGA,WARD
Aboh Mbaise,UVURU WARD 1
Aboh Mbaise,NGURUNWENKWO WARD
Aboh Mbaise,UVURU WARD 2
Aboh Mbaise,UMUHU WARD
Aboh Mbaise,ENYIOGUGU WARD
Aboh Mbaise,IBEKU WARD
Aboh Mbaise,NGURU NWEKE WARD
Aboh Mbaise,MBUTU WARD
Aboh Mbaise,AMUZU WARD
Aboh Mbaise,LORJI WARD
Aboh Mbaise,LAGWA WARD
Ahiazu Mbaise,AMUZI/IHENWEORIE WARD
Ahiazu Mbaise,UMUNOMO/UMUCHIEZE WARD
Ahiazu Mbaise,OGBOR/UMUEZE WARD
Ahiazu Mbaise,NNARAMBIA WARD
Ahiazu Mbaise,MPAM WARD
Ahiazu Mbaise,OKIRIKA NWEKE WARD
Ahiazu Mbaise,OPARANADIM WARD
Ahiazu Mbaise,ORU/LUDE WARD
Ahiazu Mbaise,OBOHIA/EKWERAZU TOWN WARD
Ahiazu Mbaise,OGBE WARD
Ahiazu Mbaise,OTULU/AGUNEZE WARD
Ahiazu Mbaise,OKIRIKANWENKWO WARD
Ehime Mbano,Renovation of primary schools ten thousand gallons solar water borehole
Ehime Mbano,Water borehole of 3000 gallon capacity with power generating plant
Ehime Mbano,Solar Powered Street Light
Ehime Mbano,Water borehole of Three thousand (3000) gallons capacity with power generating plant
Ehime Mbano,Training of 60 youth in different skills at Mbara Ozioma College of Technology
Ehime Mbano,Construction of one line open market & Water borehole of Three Thousand (3000) gallons capacity with power generating plant
Ehime Mbano,Water borehole of Three Thousand (3000) gallons capacity with power generating plant
Ehime Mbano,Renovation of staff office building of community secondary school Dioka-Nzerem
Ehime Mbano,Solar Powered borehole of 3000 gallons capacity with generating set
Ehime Mbano,Water borehole of Three Thousand (3000) gallons capacity with power generating plant
Ehime Mbano,Public Toilet
Ehime Mbano,Renovation of 4 Block Classroom
Ehime Mbano,Water borehole of 4000 gallon capacity with power generating plant
Ehime Mbano,Rehabilitation of Water borehole of 10000 gallon capacity
Ezinihitte Mbaise,Amumara Ward 1
Ezinihitte Mbaise,Itu Ward 2
Ezinihitte Mbaise,Okpofe & Ezeagbogu Ward 3
Ezinihitte Mbaise,Onicha 1 Ward 4
Ezinihitte Mbaise,Onicha 2 Ward 5
Ezinihitte Mbaise,Onicha 3 Ward 6
Ezinihitte Mbaise,Onicha4 Ward 7
Ezinihitte Mbaise,Eziudo Ward 8
Ezinihitte Mbaise,Udo Na Obizi Ward 9
Ezinihitte Mbaise,Ihitte Ward 10
Ezinihitte Mbaise,Oboama/Umunama Ward 11
Ezinihitte Mbaise,Ife/Chokoneze/Akpodim Ward 12
Ideato North,AKWU-OWERRI AKOKWA WARD
Ideato North,AKWU-OWERRI AKOKWA WARD
Ideato North,NDIMOKO WARD
Ideato North,NDIMOKO WARD
Ideato North,OBODOUKWU WARD
Ideato North,OBODOUKWU WARD
Ideato North,OZUAKOLI/UMUAGO WARD
Ideato North,OZUAKOLI/UMUAGO WARD
Ideato North,IHEME WARD
Ideato North,IHEME WARD
Ideato North,OSINA WARD
Ideato North,OSINA WARD
Ideato North,OZU/EZEMAZU WARD
Ideato North,OZU/EZEMAZU WARD
Ideato North,ISIOKPO WARD
Ideato North,ISIOKPO WARD
Ideato North,IZUOGU WARD 1
Ideato North,IZUOGU WARD 1
Ideato North,IZUOGU WARD 2
Ideato North,IZUOGU WARD 2
Ideato North,AKPULU WARD
Ideato North,AKPULU WARD
Ideato North,UZII UMU-ALAOMA WARD
Ideato North,UZII UMU-ALAOMA WARD
Ideato North,UMUKEGWU/UMUOPIA WARD
Ideato North,UMUKEGWU/UMUOPIA WARD
Ideato North,UMUOKWARA/UMUEZEAGA WARD
Ideato North,UMUOKWARA/UMUEZEAGA WARD
Ideato South,Ogboko Ward 1
Ideato South,Umuakam/Umuago Ward
Ideato South,Umumobom Ward
Ideato South,Obiohia Ward
Ideato South,Obiohia Ward
Ideato South,Obiohia Ward
Ideato South,Isiekeniesie Ward 2
Ideato South,Isiekeniesie Ward 2
Ideato South,Umuchima Ward
Ideato South,Ntueke Ward
Ideato South,Ogboko Ward 2
Ideato South,Isiekeniesie Ward 1
Ideato South,Umuma Isiaku Ward
Ideato South,Ugelle Ward
Ideato South,Dikenafai Ward
Ideato South,Amanato/Umueshi Ward
Ihitte Uboma,ABUEKE WARD
Ihitte Uboma,AMAINYI WARD
Ihitte Uboma,AMAKOHIA WARD
Ihitte Uboma,ATONERIM WARD
Ihitte Uboma,AWUCHINUMO WARD
Ihitte Uboma,DIMNEZE WARD
Ihitte Uboma,OKATA WARD
Ihitte Uboma,IKPEREJERE WARD
Ihitte Uboma,UMUEZEGWU WARD
Ihitte Uboma,UMUIHI WARD
Ikeduru,Iho Ward
Ikeduru,Amaimo Ward
Ikeduru,Atta Ward 2
Ikeduru,Amakohia Ward
Ikeduru,Agba Ward
Ikeduru,Inyishi/Umudim Ward
Ikeduru,Atta Ward 1
Ikeduru,Akabo Ward
Ikeduru,Okwu/Ugirike/Eziama Ward
Ikeduru,Avuvu Ward
Ikeduru,Ngugo/Ikembara Ward
Ikeduru,Amatta Ward
Isiala Mbano,UMUELEMAI
Isiala Mbano,USU-OWEERE WARD 2
Isiala Mbano,OSUOWERRE WARD 1
Isiala Mbano,OBOLLO WARD
Isiala Mbano,OGBOR WARD
Isiala Mbano,OSUAMA/ANARA WARD
Isiala Mbano,IBEME WARD
Isiala Mbano,UGIRI OKA WARD
Isiala Mbano,AMARAKU WARD
Isiala Mbano,UMUOZU WARD
Isiala Mbano,OSUACHARA WARD
Isiala Mbano,AMAUZARI WARD
Isu,Njaba 2
Isu,Umundugba 2
Isu,Amurie Omanze 1
Isu,Ekwe 1
Isu,Amurie 2
Isu,Amandugba 1
Isu,Isunjaba 3
Isu,Amandugba 2
Isu,Umundugba 1
Isu,Ekwe 2
Isu,Isunjaba 1
Mbaitoli,AFARA/EZIAMA WARD
Mbaitoli,AMAIKE WARD
Mbaitoli,EZINIHITTE WARD
Mbaitoli,IFAKALA WARD
Mbaitoli,OGBAKU WARD
Mbaitoli,OGWA WARD 1
Mbaitoli,OGWA WARD II
Mbaitoli,ORODO WARD A
Mbaitoli,ORODO WARD B
Mbaitoli,UBOMIRI WARD
Mbaitoli,UMUNWOHA/UMUAGWU WARD
Mbaitoli,UMUNOHA/AZARA WARD
Ngor Okpala,AMALA/ALULU/OBURU/OBOKWE/NTU
Ngor Okpala,ELELEM/OBIKE WARD 2
Ngor Okpala,OZUZU WARD 3
Ngor Okpala,EZIAMA/OKPALA WARD 4
Ngor Okpala,IMERIENWE/UPE WARD 5
Ngor Okpala,NGURU/UMUOWA WARD 6
Ngor Okpala,WARD 7
Ngor Okpala,OHEKELEM/NNORIE WARD 8
Ngor Okpala,UMUHU WARD 9
Ngor Okpala,UMUHU WARD 9
Ngor Okpala,OBIANGWU WARD 10
Ngor Okpala,UMUOHIAGU/LOGARA WARD
Njaba,Amucha Ward 1
Njaba,Amucha Ward 2
Njaba,Atta Ward 1
Njaba,Atta Ward 2
Njaba,Atta Ward 3
Njaba,Okwudor Ward
Njaba,Nkume Ward
Njaba,Umuaka Ward 1
Njaba,Umuaka Ward 3
Njaba,Umaka Ward 2
Njaba,Umuaka Ward 4
Nkwerre,Nnanano 2
Nkwerre,Nnanano 2
Nkwerre,Amaokpara 9
Nkwerre,Amaokpara 9
Nkwerre,Onusa 1
Nkwerre,Onusa 1
Nkwerre,Umukor 3
Nkwerre,Umukor 3
Nkwerre,Umunachi/Umunubo 4
Nkwerre,Umunachi/Umunubo 4
Nkwerre,Urban 5
Nkwerre,Urban 5
Nkwerre,Owerre Nkworji 6
Nkwerre,Owerre Nkworji 7
Nkwerre,Umudi/Umuwala 8
Nkwerre,Umudi/Umuwala 8
Nkwerre,Eziama/Obaire 10
Nwangele,Amaigbo 4
Nwangele,Abajah 1
Nwangele,Abba
Nwangele,Umuozu
Nwangele,Amaigbo 3
Nwangele,Amaigbo 1
Nwangele,Abajah 2
Nwangele,Amaigbo 5
Nwangele,Dim-na-Nume
Nwangele,Kara na Orlu
Obowo,Avutu
Obowo,Amuzi
Obowo,Alike
Obowo,Okenalogho
Obowo,Amanze/Umungwa
Obowo,Odenkume/Umuosochie
Obowo,Umunachi Ward 7
Obowo,Okwuohia
Obowo,Ehume Ward
Oguta,OGUTA WARD B
Oguta,MGBALLA/UBA WARD
Oguta,OSSE-MOTOR WARD
Oguta,OGUTA WARD A
Oguta,EGWE-EGBUOMA WARD
Oguta,AWA WARD
Oguta,OBUDI/ARO WARD
Oguta,OBUDI/ARO WARD
Oguta,NDIULOUKWU UMUOWERE WARD
Oguta,UWAORIE WARD
Oguta,ORU WARD
Oguta,IZOMBE WARD
Ohaji Egbema,OBITTI/MGBUISII WARD
Ohaji Egbema,OBITTI/MGBUISII WARD
Ohaji Egbema,EGBEMA WARD A
Ohaji Egbema,EGBEMA WARD B
Ohaji Egbema,EGBEMA WARD B
Ohaji Egbema,EGBEMA WARD C
Ohaji Egbema,EGBEMA WARD C
Ohaji Egbema,EGBEMA WARD D
Ohaji Egbema,EGBEMA WARD E
Ohaji Egbema,EGBEMA WARD E
Ohaji Egbema,AWARRA/IKWEREDE WARD
Ohaji Egbema,ASSA/OBILE WARD
Ohaji Egbema,EKWUATO WARD
Ohaji Egbema,EKWUATO WARD
Ohaji Egbema,OHOBA WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAGWO WARD
Ohaji Egbema,UMUAPU WARD
Okigwe,RECONSTRUCTION IHUBE-AKU BRIDGE & ROAD GRADING
Okigwe,BOREHOLE DRILLING
Okigwe,RENOVATION OF MARKET/GRADING OF ROADS
Okigwe,UBAHA TOWN HALL
Okigwe,COMMUNITY SECONDARY SCHOOL OKIGWE
Okigwe,EKE-OKIGWE MARKET
Okigwe,SOLAR DRIVEN BOREHOLE
Okigwe,MINI BRIDGE
Okigwe,ORIE OGII MARKET \ROADS
Okigwe,AGBOBU/IZUOGU PRIMARY SCHOOL
Okigwe,SOLAR DRIVEN WATER BOREHOLE
Okigwe,300KVA TRANSFORMER
Okigwe,NDI EKWURU BRIDGE
Onuimo,EZIAMA WARD 1
Onuimo,OWERRE OKWE WARD 2
Onuimo,UMUCHEKE OKWE WARD 3
Onuimo,EZELU WARD 4
Onuimo,OFAHIA WARD 5
Onuimo,ABOH/OKOHIA WARD 6
Onuimo,OZIMO/UMUANUMEZE WARD 7
Onuimo,UMUNA WARD 8
Onuimo,OKWELLE I WARD 9
Onuimo,OKWELLE II WARD 10
Orlu,ORLU/MGBEE Ward
Orlu,OGBERURU WARD
Orlu,OWERRE-EBEIRI WARD
Orlu,AMAIFEKE WARD
Orlu,IHITEOWRRI WARD
Orlu,EZIACHI/AMIKE WARD
Orlu,UMUDIOKA WARD
Orlu,UMUZIKE/UMUOWA WARD
Orlu,OHAEKE OKPORO WARD
Orlu,OHAFOR OKPORO/UMUTANZE WARD
Orlu,OKWUABALA IHIOMA WARD
Orlu,UMUNA WARD
Orlu,UMUNA WARD
Orlu,EBENESE/UMUEZENACHI WARD
Orsu,AMARURU WARD
Orsu,EZIAWA WARD
Orsu,ASSAH-UBIRIELEM WARD
Orsu,IHITENANSA WARD
Orsu,IHITENANSA WARD
Orsu,ORSU-IHITEUKWA WARD
Orsu,OKWUETITI WARD
Orsu,OKWUAMARAIHE WARD 2
Orsu,OKWUAMARAIHE WARD 1
Orsu,OKWUFURUAKU WARD
Orsu,EBENATOR WARD
Orsu,UMUHU-OKABIA WARD
Oru East,OMUMA WARD
Oru East,AKATTA WARD
Oru East,AMIRI WARD II
Oru East,AWO-OMAMMA WARD II
Oru East,AWO-OMAMMA WARD I
Oru East,AMAGU WARD
Oru East,AMIRI WARD I
Oru East,AWO-OMAMMA WARD IV
Oru East,AWO-OMAMMA WARD III
Oru East,AMAKAOHIA WARD
Oru West,AMAOFUO WARD
Oru West,OZARA WARD
Oru West,OHAKPU WARD
Oru West,MGBIDI WARD 2
Oru West,IBIASOEGBE WARD
Oru West,AJI WARD
Oru West,MGBIDI WARD 1
Oru West,OTULU WARD
Oru West,OTULU WARD
Oru West,NEMPI/ELEH WARD
Oru West,UBULU WARD
Owerri Municipal,Construction of Public Toilets/ Borehole
Owerri Municipal,Public Toilet with Borehole and barricade
Owerri Municipal,Drilling of Solar Borehole with Barricade
Owerri Municipal,Drainage desilting and barricade
Owerri Municipal,Construction of Solar Borehole and Barricade
Owerri Municipal,Fabrication and installation of barricade
Owerri Municipal,Installation of Borehole
Owerri Municipal,Solar Borehole and renovation of Security Post
Owerri Municipal,Solar Borehole and Public Toilet
Owerri Municipal,Public Toilet with Borehole.
Owerri Municipal,Installation of Borehole
Owerri North,Emekuku Ward 2
Owerri North,Emekuku Ward 1
Owerri North,Emii Ward
Owerri North,Egbu Ward
Owerri North,Awaka/Ihitta Ward
Owerri North,Amakohia/Akwakuma Ward
Owerri North,Naze Ward
Owerri North,OAU Ward
Owerri North,Orji Ward
Owerri North,Obibiezena Ward
Owerri North,Obibi Ward 1
Owerri North,Obibi Ward 2
Owerri West,NDEGWU CENTER WARD 9
Owerri West,IHIAGWA WARD 6
Owerri West,EZIOBODO/EZIOKELE WARD 5
Owerri West,OKOLOCHI/EMEABIAM WARD 4
Owerri West,OKUKU WARD 3
Owerri West,UMUGUMA WARD 2
Owerri West,AVU/OFOROLA WARD 1
Owerri West,IRETE/OROGWE WARD 10
Owerri West,OBINZE WARD 8
Owerri West,NEKEDE WARD 7
